Ticker,BH,MDD,R2,Slope,AC5,Align,HitUp,HitDn,UDgap,nUp,nDn,Name,Sector,MCap,MomGap,HoldFit,TimingEdge,Type,Lean,종목구분,섹터구분,구획,추세성,방향,유형3,섹터성격,종목성격,셀4,섹터medR2,추세타이밍_정밀
000100,-32.161687170474515,-46.68630338733431,0.3834898867459303,-0.0009083096789042,-0.0868063053020505,0.5370370370370371,0.4035087719298245,0.3904761904761905,0.7773248038157266,57,105,유한양행,생활.제약,60851,1.303258145363401,-1.0468902855618205,-0.3495090579113868,저신호(애매),-0.6973812276504336,타이밍,타이밍,타이밍-타이밍,타이밍형,우하향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.6458,False
000150,524.7116968698517,-28.9151157512483,0.876498236536059,0.0049115392972708,0.0530761452193853,0.5369458128078818,0.6035502958579881,0.7647058823529411,0.3052484980730852,169,34,두산,반도체장비,262502,-16.1155586494953,0.9639452629339914,-0.6505272198944758,홀드형(추세추종),1.6144724828284671,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8806,False
000250,85.85643212508884,-79.8141891891892,0.645764151016635,0.0054221375324212,0.196059079543734,0.6432748538011696,0.6033057851239669,0.26,18.730847978360977,121,50,삼천당제약,생활.제약,61693,34.33057851239669,-1.708858046634938,0.6302403382474124,타이밍형(기술분석유효),-2.3390983848823503,타이밍,타이밍,타이밍-타이밍,타이밍형,우상향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.6458,False
000270,84.51327433628319,-29.51456310679612,0.8747266309531141,0.0026472494160687,-0.3039964221035229,0.5384615384615384,0.6134969325153374,0.84375,-2.890385702759657,163,32,기아,자동차,609044,-23.025306748466257,0.3004211824605958,-0.3257721032125151,홀드형(추세추종),0.6261932856731109,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.7938,False
000500,317.910447761194,-55.319148936170215,0.593480159711843,0.0053061528461591,0.3588042089962389,0.4095744680851064,0.4285714285714285,0.6181818181818182,-4.368807667283581,133,55,가온전선,에너지.전송,53600,-18.96103896103897,-0.5863131022200299,0.0343946548475873,타이밍형(기술분석유효),-0.6207077570676172,타이밍,홀드,홀드-타이밍,타이밍형,우상향,타이밍형,추세,타이밍,추세-타이밍,0.8946,False
000660,1111.2676056338028,-26.56960873521384,0.9551333117094168,0.0086750321678626,-0.1792294752402114,0.6381909547738693,0.7134831460674157,1.0,-7.820670495003301,178,21,SK하이닉스,반도체,14973877,-28.65168539325843,1.5522464577944408,0.0446262759668705,혼합형,1.5076201818275703,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.9604,False
000720,278.6057692307692,-38.26179120296768,0.7226074255318999,0.0045212531302764,0.0621486691264969,0.5818965517241379,0.5562130177514792,0.3492063492063492,7.527933453174018,169,63,현대건설,에너지.생산,136634,20.70066685451301,0.0997005544270737,-0.2669233278795595,홀드형(추세추종),0.3666238823066332,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.714,False
000810,74.63284379172231,-30.079365079365083,0.5375378260568232,0.0010423736734097,-0.2676394668298488,0.4388888888888889,0.4869565217391304,0.6153846153846154,-3.179078915433675,115,65,삼성화재,금융.보험,296013,-12.842809364548502,-0.1341931834952645,-0.1057420090930177,저신호(애매),-0.0284511744022467,타이밍,타이밍,타이밍-타이밍,타이밍형,우상향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.5857,False
000880,141.5368639667705,-29.595588235294112,0.6242474838738024,0.0024875661219057,0.2236759273341176,0.3546511627906977,0.4188034188034188,0.7818181818181819,-8.708220782473886,117,55,한화,지주,82917,-36.30147630147631,0.0829532682726597,0.6530211056209879,혼합형,-0.5700678373483282,타이밍,홀드,홀드-타이밍,타이밍형,우상향,타이밍형,추세,타이밍,추세-타이밍,0.8569,False
000990,354.4980443285528,-31.53232949512843,0.8872089049735711,0.0053550376876455,-0.0256146628936061,0.5544041450777202,0.5838509316770186,0.59375,0.9510894142349846,161,32,DB하이텍,반도체장비,67519,-0.9899068322981376,0.6384420094378672,-0.9160314667011324,홀드형(추세추종),1.5544734761389996,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8806,False
